n,algoritmo,tempo,co2
1000,heap,0.025123119354248047,2.6782569374290483e-07
1000,networkx,0.012064933776855469,1.3268362913337275e-07
1000,classico,0.05825090408325195,5.580247623714447e-07
1000,heap,0.018093109130859375,1.8603782745191351e-07
1000,networkx,0.012982606887817383,1.5483492056188738e-07
1000,classico,0.05716228485107422,5.494753968407849e-07
1000,heap,0.017442941665649414,1.8112802979619515e-07
1000,networkx,0.011283397674560547,1.1810823781436417e-07
1000,classico,0.12186217308044434,1.192648438203134e-06
1000,heap,0.01652383804321289,1.7008804654441702e-07
1000,networkx,0.010361433029174805,1.1411492754285145e-07
1000,classico,0.06140732765197754,5.941256458236509e-07
1000,heap,0.017716407775878906,1.9610247658915448e-07
1000,networkx,0.011148214340209961,1.222673967030274e-07
1000,classico,0.05938720703125,5.684889679471182e-07
1000,heap,0.016483068466186523,1.8209883247057177e-07
1000,networkx,0.019434452056884766,2.1062370205892154e-07
1000,classico,0.09862327575683594,9.80097810470535e-07
1000,heap,0.017422199249267578,1.906704233880656e-07
1000,networkx,0.012301445007324219,1.304570617813895e-07
1000,classico,0.05763554573059082,5.565027569943513e-07
1000,heap,0.013904333114624023,1.7099253751838503e-07
1000,networkx,0.010691165924072266,1.2350226134521223e-07
1000,classico,0.05824089050292969,5.581378873682104e-07
1000,heap,0.04175448417663574,4.090080047823729e-07
1000,networkx,0.023488998413085938,2.581229055021869e-07
1000,classico,0.05599069595336914,5.408353467189004e-07
1000,heap,0.01533961296081543,1.6522186813767376e-07
1000,networkx,0.010055780410766602,1.1424667034804045e-07
5000,classico,1.1706011295318604,1.098253215648816e-05
5000,heap,0.10191750526428223,9.680782587613513e-07
5000,networkx,0.3734564781188965,3.5113190448033034e-06
5000,classico,2.0647032260894775,1.9372039772602905e-05
5000,heap,0.10385775566101074,9.889540578153961e-07
5000,networkx,0.3722825050354004,3.502179381622539e-06
5000,classico,1.17374849319458,1.100965535638763e-05
5000,heap,0.09910130500793457,9.526609610364831e-07
5000,networkx,0.36879849433898926,3.469915409472403e-06
5000,classico,2.065777063369751,1.9371462089650802e-05
5000,heap,0.10645556449890137,1.011467807015976e-06
5000,networkx,0.3730907440185547,3.5097033262883203e-06
5000,classico,1.1856505870819092,1.1121267606900734e-05
5000,heap,0.10578250885009766,1.004594524794825e-06
5000,networkx,0.37500452995300293,3.52527668305689e-06
5000,classico,2.056291341781616,1.9277924525726492e-05
5000,heap,0.09959268569946289,9.502623224772584e-07
5000,networkx,0.37714099884033203,3.548063620454239e-06
5000,classico,1.163902759552002,1.0928569515571375e-05
5000,heap,0.10866928100585938,1.0338332538880937e-06
5000,networkx,0.3748047351837158,3.526642090507498e-06
5000,classico,1.746706247329712,1.6386021903699908e-05
5000,heap,0.104278564453125,9.892141526531233e-07
5000,networkx,0.39011120796203613,3.6694761886929756e-06
5000,classico,1.1869781017303467,1.1132756954529976e-05
5000,heap,0.1041717529296875,9.889986343882802e-07
5000,networkx,0.6783344745635986,6.376607203985318e-06
5000,classico,1.5079677104949951,1.4150819164759235e-05
5000,heap,0.10405778884887695,9.889853929257188e-07
5000,networkx,0.3920464515686035,3.6865603029789793e-06
